condition_number,operator_norm,mean_squared_recovery_error
5.379143356930542,0.0048990681350030135,0.0024485816
4.216272158943128,0.002874172854368191,0.001985808
10.390293100946067,0.007649526698917758,0.0023454535
10.13129772586735,0.00424911099768933,0.0019784844
7.66439010893585,0.0059879119946389826,0.0024356819
8.232714447788204,0.004612838594844459,0.0020545456
9.587730340079174,0.0068416537363799115,0.002921849
5.077701366232479,0.003137051361924717,0.0017003409
10.301630456099913,0.007859466168144109,0.0029109563
7.312216266222042,0.00405485135108108,0.0022340575
