condition_number,operator_norm,mean_squared_recovery_error
7.558097495095232,0.0031921795751005504,0.0016088017
11.167330364246018,0.005105655754043695,0.002134391
9.871700820793647,0.0043663966686987195,0.0016111524
5.065120882711365,0.002344351385394461,0.0014311458
7.18163321477542,0.004157882852348368,0.0018289747
4.496147150954624,0.004351595138401575,0.0026605532
6.883210185646733,0.004433889392468698,0.002066481
8.937590034054592,0.003649871190279887,0.0019807578
11.363319860298006,0.005119250328381806,0.0019090801
13.474029788706714,0.007118425883836412,0.0024043457
