condition_number,operator_norm,mean_squared_recovery_error
6.9355442660768745,0.002947756705818806,0.0014524547
4.476795118556851,0.002360110969609055,0.0012101381
4.039900854020266,0.0020048331262595724,0.0013241522
7.450987244568593,0.0035859276412598244,0.0015174939
6.238705052311194,0.0027163781100003016,0.0014927476
6.128947506833364,0.003029631366294056,0.0012453728
9.294508829789153,0.002632486579137168,0.0012787184
5.366968119188456,0.0023756750032860696,0.0014736995
4.2103958307234155,0.0021902554239444393,0.0013653853
7.520366617755059,0.0034679962424313225,0.0014615105
